Measure Mode: wall_time
Thread ID: 70253057271520
Fiber ID: 70253062259540
Total: 2.880588
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        2   Kernel#define_singleton_method 
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager::Plugin#initialize 
  0.00      0.000     0.000     0.000     0.000        4   <Module::Gem>#load_path_insert_index 
  0.00      0.001     0.000     0.000     0.001        3   Gem::Dependency#to_specs 
  0.00      0.001     0.000     0.000     0.001        1   CodeRay::PluginHost#[] 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#add_options 
  0.00      0.000     0.000     0.000     0.000        3   Gem::Requirement#satisfied_by? 
  0.00      0.000     0.000     0.000     0.000        4   Array#insert 
  0.00      0.001     0.000     0.000     0.001        3   Gem::Dependency#matching_specs 
  0.00      0.000     0.000     0.000     0.000        3   Gem::Specification#has_rdoc= 
  0.00      0.000     0.000     0.000     0.000        1   Pry::CommandSet#initialize 
  0.00      0.000     0.000     0.000     0.000        9   Gem::Specification#extensions= 
  0.00      0.000     0.000     0.000     0.000       12   MatchData#size 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Specification>#dirs 
  0.00      0.000     0.000     0.000     0.000       24   <Class::Regexp>#last_match 
  0.00      0.001     0.000     0.000     0.001        1   Proc#yield 
  0.00      0.000     0.000     0.000     0.000        2   Gem::Specification#requirements= 
  0.00      0.000     0.000     0.000     0.000        1   String#<< 
  0.00      0.000     0.000     0.000     0.000        4   Module#public 
  0.00      0.000     0.000     0.000     0.000        1   Mutex#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Slop#on 
  0.00      0.000     0.000     0.000     0.000        1   Gem::Specification#base_dir 
  0.00      0.000     0.000     0.000     0.000       13   Module#method_undefined 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry>#plugins 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry::CLI>#add_plugin_options 
  0.00      0.000     0.000     0.000     0.000        1   Pry::Config::Default#should_load_plugins 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Gem::Specification>#reset 
  0.00      0.000     0.000     0.000     0.000        4   Pry::Config::Behavior#key? 
  0.00      0.000     0.000     0.000     0.000       18  *CodeRay::PluginHost#plugin_hash 
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#load_plugin_map 
  0.00      0.001     0.000     0.000     0.001        1   CodeRay::PluginHost#const_missing 
  0.00      0.000     0.000     0.000     0.000        3   Gem::Version#release 
  0.00      0.000     0.000     0.000     0.000        2   Pry::Config::Behavior#merge! 
  0.00      0.000     0.000     0.000     0.000        2   CodeRay::PluginHost#path_to 
  0.00      0.000     0.000     0.000     0.000        3   Enumerable#map 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Gem>#paths 
  0.00      0.000     0.000     0.000     0.000        5   Array#empty? 
  0.00      0.001     0.000     0.000     0.001        4  *Gem::Specification#activate_dependencies 
  0.00      0.000     0.000     0.000     0.000        5   Array#<< 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#inspect 
  0.00      0.000     0.000     0.000     0.000        1   Pry::Config::Default#configure_gist 
  0.00      0.000     0.000     0.000     0.000        1   <Module::Gem>#path 
